MaKH,HoTen,GioiTinh,Tuoi,NgheNghiep,NhomKH,Email,SoDienThoai
KH0001,Phạm Văn Ích,Nam,34,Giáo viên,Cá nhân thường,kh0001@email.com,0983197857
KH0002,Lê Bảo Oanh,Nam,21,Kinh doanh tự do,Cá nhân VIP,kh0002@email.com,0941227216
KH0003,Tạ Bảo An,Nam,65,Luật sư,Doanh nghiệp lớn,kh0003@email.com,0939587039
KH0004,Dương Bảo Ích,Nam,68,Giáo viên,Doanh nghiệp lớn,kh0004@email.com,0955667651
KH0005,Võ Hoàng Giang,Nữ,26,Kinh doanh tự do,Doanh nghiệp lớn,kh0005@email.com,0922981052
KH0006,Đỗ Đức Vinh,Nữ,22,Nội trợ,Cá nhân thường,kh0006@email.com,0960806024
KH0007,Lê Thùy Kim,Nữ,56,Bác sĩ,Cá nhân thường,kh0007@email.com,0916150444
KH0008,Vũ Thanh Cường,Nam,26,Hưu trí,Doanh nghiệp nhỏ,kh0008@email.com,0970855700
KH0009,Đỗ Hoàng Minh,Nữ,33,Kỹ sư,Cá nhân thường,kh0009@email.com,0991756179
KH0010,Huỳnh Thùy Hải,Nam,49,Hưu trí,Doanh nghiệp nhỏ,kh0010@email.com,0995899313
KH0011,Mai Minh Lan,Nam,34,Nhân viên văn phòng,Doanh nghiệp nhỏ,kh0011@email.com,0963843426
KH0012,Võ Thị Giang,Nữ,33,Nội trợ,Doanh nghiệp lớn,kh0012@email.com,0996282117
KH0013,Dương Hoàng Ích,Nam,35,Luật sư,Doanh nghiệp nhỏ,kh0013@email.com,0988461803
KH0014,Ngô Bảo Nam,Nữ,34,Giáo viên,Doanh nghiệp lớn,kh0014@email.com,0922201654
KH0015,Trần Thị Em,Nam,70,Hưu trí,Cá nhân thường,kh0015@email.com,0961642594
KH0016,Hồ Bảo Phong,Nữ,55,Nhân viên văn phòng,Cá nhân thường,kh0016@email.com,0982070937
KH0017,Võ Đức Dung,Nữ,47,Giáo viên,Doanh nghiệp lớn,kh0017@email.com,0910435578
KH0018,Võ Thùy Phúc,Nam,60,Kỹ sư,Cá nhân VIP,kh0018@email.com,0930513739
KH0019,Đỗ Hoàng Tâm,Nam,58,Sinh viên,Doanh nghiệp lớn,kh0019@email.com,0912614124
KH0020,Phạm Đức Kim,Nam,23,Bác sĩ,Cá nhân thường,kh0020@email.com,0921496211
KH0021,Lý Thị Tâm,Nam,28,Nội trợ,Cá nhân VIP,kh0021@email.com,0945575298
KH0022,Tạ Bảo Oanh,Nam,54,Bác sĩ,Doanh nghiệp nhỏ,kh0022@email.com,0963551839
KH0023,Đỗ Quốc Sơn,Nữ,27,Bác sĩ,Cá nhân VIP,kh0023@email.com,0918593410
KH0024,Bùi Văn Uyên,Nam,57,Bác sĩ,Cá nhân thường,kh0024@email.com,0919528530
KH0025,Trần Minh Cường,Nam,41,Kinh doanh tự do,Cá nhân VIP,kh0025@email.com,0947376585
KH0026,Lý Minh Tâm,Nam,66,Nông dân,Doanh nghiệp lớn,kh0026@email.com,0942614537
KH0027,Lý Ngọc Giang,Nam,26,Hưu trí,Doanh nghiệp nhỏ,kh0027@email.com,0966851760
KH0028,Ngô Quốc Bình,Nam,23,Hưu trí,Doanh nghiệp nhỏ,kh0028@email.com,0924665841
KH0029,Vũ Minh Giang,Nữ,28,Hưu trí,Cá nhân VIP,kh0029@email.com,0947385696
